jpid,USE1Code,USE1Desc,USE2Code,USE2Desc,USE3Code,USE3Desc
20822001400002 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400003 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400004 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400005 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400006 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400007 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400008 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400009 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400010 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400011 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400012 ,LEG,Yamanaka,NA,NA,NA,NA
20822001400013 ,LEG,Yamanaka,NA,NA,NA,NA
20822001410001 ,TSC,Asahi,NA,NA,NA,NA
20822001410002 ,TSC,Asahi,NA,NA,NA,NA
20822001420000 ,LEG,Imagashima,RDV,Ina,NA,NA
20822001430001 ,LEG,Kamigo,PTR,Kamigo (R8),NA,NA
20822001430002 ,LEG,Kamigo,RDV,Toyosato Green Town,NA,NA
20822001440000 ,LEG,Kamisato,NA,NA,NA,NA
20822001450000 ,LEG,Koya,NA,NA,NA,NA
20822001460000 ,LEG,Konomata,NA,NA,NA,NA
20822001470000 ,LEG,Sakemaru,NA,NA,NA,NA
20822001480000 ,LEG,Takura,NA,NA,NA,NA
20822001490000 ,LEG,Tsuchida,NA,NA,NA,NA
20822001500000 ,LEG,Tegomaru,NA,NA,NA,NA
20822001510000 ,NTD,Tokodai 1,NA,NA,NA,NA
20822001510100 ,NTD,Tokodai 2,NA,NA,NA,NA
20822001510200 ,NTD,Tokodai 3,NA,NA,NA,NA
20822001510300 ,NTD,Tokodai 4,NA,NA,NA,NA
20822001510400 ,IND,Tokodai 5,NA,NA,NA,NA
20822001560001 ,LEG,Tohigashi,NA,NA,NA,NA
20822001560002 ,LEG,Tohigashi,NA,NA,NA,NA
20822001570000 ,LEG,Nakahigashihara Shinden,NA,NA,NA,NA
20822001580001 ,LEG,Numazaki,NA,NA,NA,NA
20822001580002 ,LEG,Numazaki,NA,NA,NA,NA
20822001590000 ,LEG,Nobata,NA,NA,NA,NA
20822001600000 ,LEG,Hakke,NA,NA,NA,NA
20822001610000 ,IND,Technopark Toyosato,NA,NA,NA,NA
20822001610100 ,IND,Technopark Toyosato,NA,NA,NA,NA
20822001610200 ,IND,Technopark Toyosato,NA,NA,NA,NA
20822001610300 ,IND,Technopark Toyosato,NA,NA,NA,NA
20822001650000 ,LEG,Osuna,RDV,Toshin,NA,NA
20822001660001 ,LEG,Ozone,PTR,Ozone (R8),NTD,Yakushicho
20822001660002 ,LEG,Ozone,NA,NA,NA,NA
20822001670001 ,TSC,Oho (KEK),NA,NA,NA,NA
20822001670002 ,LEG,Oho,NA,NA,NA,NA
20822001680000 ,LEG,Osagoya,NA,NA,NA,NA
20822001690000 ,LEG,Kashimadai,NA,NA,NA,NA
20822001700000 ,LEG,Kaname,RDV,Nakane-Hitachi,NA,NA
20822001710000 ,IND,Technopark Oho (Kitahara),NA,NA,NA,NA
20822001720001 ,LEG,Goninuke,NA,NA,NA,NA
20822001720002 ,LEG,Goninuke,NA,NA,NA,NA
20822001720003 ,LEG,Goninuke,NA,NA,NA,NA
20822001720004 ,LEG,Goninuke,NA,NA,NA,NA
20822001720005 ,LEG,Goninuke,NA,NA,NA,NA
20822001730000 ,LEG,Sa,NA,NA,NA,NA
20822001740000 ,LEG,Shinozaki,NA,NA,NA,NA
20822001750000 ,TSC,Tachihara (BRI NITS),NA,NA,NA,NA
20822001760000 ,LEG,Tamatori,NA,NA,NA,NA
20822001770000 ,LEG,Nishigoya,RDV,Shiramizu,NA,NA
20822001780001 ,TSC,Nishizawa,NA,NA,NA,NA
20822001780002 ,LEG,Nishizawa,NA,NA,NA,NA
20822001780003 ,LEG,Nishizawa,NA,NA,NA,NA
20822001790000 ,LEG,Hasenuma,NA,NA,NA,NA
20822001800000 ,TSC,Hanabatake (NTT),NA,NA,NA,NA
20822001800100 ,TSC,Hanabatake (NTT),NA,NA,NA,NA
20822001800200 ,TSC,Hanabatake,NA,NA,NA,NA
20822001830000 ,LEG,Motozawa,NA,NA,NA,NA
20822001840000 ,LEG,Maeno,NA,NA,NA,NA
20822001850000 ,TSC,Minamihara,NA,NA,NA,NA
20822001860000 ,LEG,Yoshinuma,PTR,Yoshinuma (R8),NA,NA
20822001870000 ,LEG,Wakamori,NA,NA,NA,NA
20822001880000 ,LEG,Akeshi,NA,NA,NA,NA
20822001890000 ,LEG,Ajiki,RDV,Iriai-Shinshiramizu,NA,NA
20822001900000 ,LEG,Ikeda,NA,NA,NA,NA
20822001910000 ,LEG,Izumi,NA,NA,NA,NA
20822001920000 ,LEG,Isobe,NA,NA,NA,NA
20822001930000 ,LEG,Usui,NA,NA,NA,NA
20822001940001 ,LEG,Urushijo,NA,NA,NA,NA
20822001940002 ,LEG,Urushijo,NA,NA,NA,NA
20822001940003 ,LEG,Urushijo,NA,NA,NA,NA
20822001950000 ,LEG,Ogata,NA,NA,NA,NA
20822001960000 ,LEG,Onuki,NA,NA,NA,NA
20822001970001 ,LEG,Ozawa,NA,NA,NA,NA
20822001970002 ,LEG,Ozawa,NA,NA,NA,NA
20822001970003 ,LEG,Ozawa,NA,NA,NA,NA
20822001970004 ,LEG,Ozawa,NA,NA,NA,NA
20822001980000 ,LEG,Oda,PTR,Oda (R8),NA,NA
20822001990000 ,LEG,Kamioshima,IND,Kamioshima Ind Park,NA,NA
20822002000000 ,TSC,Kamizawa - KEK,NA,NA,NA,NA
20822002010000 ,LEG,Kamisugama,NA,NA,NA,NA
20822002020001 ,LEG,Kangori,NA,NA,NA,NA
20822002020002 ,LEG,Kangori,NA,NA,NA,NA
20822002030000 ,LEG,Kitaota,NA,NA,NA,NA
20822002040000 ,LEG,Kimijima,NA,NA,NA,NA
20822002050001 ,LEG,Kunimatsu,NA,NA,NA,NA
20822002050002 ,LEG,Kunimatsu,NA,NA,NA,NA
20822002060000 ,LEG,Koizumi,NA,NA,NA,NA
20822002070000 ,LEG,Koyahara Shinden,NA,NA,NA,NA
20822002080000 ,LEG,Kowada,NA,NA,NA,NA
20822002090000 ,LEG,Shimooshima,NA,NA,NA,NA
20822002100000 ,LEG,Suginoki,NA,NA,NA,NA
20822002110001 ,LEG,Tanaka,NA,NA,NA,NA
20822002110002 ,LEG,Tanaka,NA,NA,NA,NA
20822002110003 ,LEG,Tanaka,NA,NA,NA,NA
20822002120001 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120002 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120003 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120004 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120005 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120006 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120007 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120008 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120009 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120010 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120011 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120012 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120013 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120014 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120015 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120016 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120017 ,LEG,Tsukuba,NA,NA,NA,NA
20822002120018 ,LEG,Tsukuba,NA,NA,NA,NA
20822002130000 ,LEG,Tsukuriya,NA,NA,NA,NA
20822002140001 ,LEG,Teragu,NA,NA,NA,NA
20822002140002 ,LEG,Teragu,NA,NA,NA,NA
20822002140003 ,LEG,Teragu,NA,NA,NA,NA
20822002150000 ,LEG,Nakasugama,NA,NA,NA,NA
20822002160001 ,LEG,Numata,NA,NA,NA,NA
20822002160002 ,LEG,Numata,NA,NA,NA,NA
20822002160003 ,LEG,Numata,NA,NA,NA,NA
20822002160004 ,LEG,Numata,NA,NA,NA,NA
20822002170000 ,LEG,Hirasawa,NA,NA,NA,NA
20822002180001 ,LEG,Hojo,PTR,Hojo (R8),NA,NA
20822002180002 ,LEG,Hojo,NA,NA,NA,NA
20822002180003 ,LEG,Hojo,NA,NA,NA,NA
20822002180004 ,LEG,Hojo,NA,NA,NA,NA
20822002180005 ,LEG,Hojo,NA,NA,NA,NA
20822002180006 ,LEG,Hojo,NA,NA,NA,NA
20822002180007 ,LEG,Hojo,NA,NA,NA,NA
20822002180008 ,LEG,Hojo,NA,NA,NA,NA
20822002180009 ,LEG,Hojo,NA,NA,NA,NA
20822002190001 ,LEG,Horage,RDV,Oneyama,NA,NA
20822002190002 ,LEG,Horage,NA,NA,NA,NA
20822002200001 ,LEG,Mimori,NA,NA,NA,NA
20822002200002 ,LEG,Mimori,NA,NA,NA,NA
20822002210001 ,LEG,Yamaki,NA,NA,NA,NA
20822002210002 ,LEG,Yamaki,NA,NA,NA,NA
20822002210003 ,LEG,Yamaki,NA,NA,NA,NA
20822002220000 ,LEG,Yamaguchi,NA,NA,NA,NA
20822002230000 ,IND,Wadai - North Ind Park,NA,NA,NA,NA
20822002240000 ,IND,Technopark Oho (Okubo),NA,NA,NA,NA
20822002250000 ,NTD,Sakura 1,NA,NA,NA,NA
20822002250100 ,NTD,Sakura 2,NA,NA,NA,NA
20822002250200 ,NTD,Sakura 3,IND,Technopark Sakura,NA,NA
20822002280001 ,LEG,Tamiyama,NA,NA,NA,NA
20822002280002 ,LEG,Tamiyama,NA,NA,NA,NA
20822002290000 ,RDV,Toyosato no Mori 1,NA,NA,NA,NA
20822002290100 ,RDV,Toyosato no Mori 2,NA,NA,NA,NA
20822002310000 ,NTD,Tsukuho 1,NA,NA,NA,NA
20822002310100 ,NTD,Tsukuho 2,NA,NA,NA,NA
20822002310200 ,NTD,Tsukuho 3,NA,NA,NA,NA
20822002340000 ,RDV,Ashibino,NA,NA,NA,NA
20822002350000 ,LEG,Amaboki,NA,NA,NA,NA
20822002360000 ,TSC,Ikenodai,NA,NA,NA,NA
20822002370000 ,LEG,Ikemukai,NA,NA,NA,NA
20822002380000 ,LEG,Inarigawa,NA,NA,NA,NA
20822002390001 ,LEG,Inarihara,NA,NA,NA,NA
20822002390002 ,LEG,Inarihara,NA,NA,NA,NA
20822002400000 ,RDV,Umegaoka,NA,NA,NA,NA
20822002410000 ,LEG,Oi,NA,NA,NA,NA
20822002420000 ,LEG,Ofunato,NA,NA,NA,NA
20822002430001 ,LEG,Oguki,NA,NA,NA,NA
20822002430002 ,LEG,Oguki,NA,NA,NA,NA
20822002430003 ,LEG,Oguki,NA,NA,NA,NA
20822002440001 ,LEG,Kamiiwasaki,NA,NA,NA,NA
20822002440002 ,LEG,Kamiiwasaki,NA,NA,NA,NA
20822002450000 ,LEG,Kyumantsubo,NA,NA,NA,NA
20822002460000 ,LEG,Kukizaki,NA,NA,NA,NA
20822002470000 ,LEG,Komagome,NA,NA,NA,NA
20822002480000 ,LEG,Koyama,NA,NA,NA,NA
20822002490000 ,RDV,Sakuragaoka,NA,NA,NA,NA
20822002500001 ,LEG,Shimoiwasaki,NA,NA,NA,NA
20822002500002 ,LEG,Shimoiwasaki,NA,NA,NA,NA
20822002510000 ,RDV,Jiyugaoka,NA,NA,NA,NA
20822002520000 ,RDV,Shiroyama,NA,NA,NA,NA
20822002530001 ,LEG,Sugama,NA,NA,NA,NA
